,phrase,label,sentiment,subjectivity,language,count
Jan Zimmermann,Jan Zimmermann,PER,-0.33518107908351846,0.040650406504065074,de,45.09999999999996
Simone Thomalla,Simone Thomalla,PER,0.08536585365853656,0.0,de,8.200000000000001
Sturmtief „Elli,Sturmtief „Elli,PER,-0.10937499999999999,0.0,de,6.4
Prinz Harry,Prinz Harry,PER,0.22656249999999997,0.0,de,6.4
"Sturmtief ""Elli","Sturmtief ""Elli",PER,-0.18181818181818182,0.0,de,5.5
Sturmtief Elli,Sturmtief Elli,PER,-0.09999999999999999,0.0,de,5.5
Laura Dahlmeier,Laura Dahlmeier,PER,-0.18181818181818182,0.0606060606060606,de,5.5
Niclas Füllkrug,Niclas Füllkrug,PER,0.09090909090909091,0.18181818181818182,de,5.5
Christoph Maria Herbst,Christoph Maria Herbst,PER,0.21363636363636365,0.22727272727272727,de,5.5
Geesthacht meterhohe Eisberge,Geesthacht meterhohe Eisberge,PER,0.0,0.0,de,4.6
Lindsey Vonn,Lindsey Vonn,PER,0.15217391304347827,0.0,de,4.6
Friedrich Merz,Friedrich Merz,PER,0.16304347826086954,0.0,de,4.6
Judy Winter,Judy Winter,PER,0.8695652173913044,0.0,de,4.6
Tim Lehmann,Tim Lehmann,PER,0.15217391304347827,0.0,de,4.6
Thomas Mann,Thomas Mann,PER,0.0,0.0,de,3.6999999999999997
Vorsicht Glatteis,Vorsicht Glatteis,PER,0.0,0.0,de,3.6999999999999997
Kai Wegner,Kai Wegner,PER,0.0,0.2702702702702703,de,3.6999999999999997
Hugh Jackman,Hugh Jackman,PER,-0.1891891891891892,0.0,de,3.6999999999999997
Keanu Reeves,Keanu Reeves,PER,0.2702702702702703,0.0,de,3.6999999999999997
Bernd Stromberg,Bernd Stromberg,PER,0.0472972972972973,0.06756756756756757,de,3.6999999999999997
Patrick Schnieder,Patrick Schnieder,PER,0.0,0.0,de,3.6999999999999997
Jule Kühn,Jule Kühn,PER,0.8378378378378379,0.0,de,3.6999999999999997
Hennadij Truchanow,Hennadij Truchanow,PER,0.0,0.0,de,2.9
Mirjana Spoljaric,Mirjana Spoljaric,PER,0.7142857142857143,0.0,de,2.8
Sturmtief «Elli,Sturmtief «Elli,PER,0.0,0.35714285714285715,de,2.8
Ehefrau Meghan,Ehefrau Meghan,PER,0.35714285714285715,0.0,de,2.8
Linus Straßer,Linus Straßer,PER,0.6071428571428572,0.0,de,2.8
Gigi Hadid,Gigi Hadid,PER,0.10714285714285716,0.0,de,2.8
Bradley Cooper,Bradley Cooper,PER,0.10714285714285716,0.0,de,2.8
Yarbo M,Yarbo M,PER,-0.35714285714285715,0.35714285714285715,de,2.8
Sutton Foster,Sutton Foster,PER,-0.25,0.0,de,2.8
David Alaba,David Alaba,PER,0.35714285714285715,0.0,de,2.8
Mann crasht,Mann crasht,PER,0.0,0.0,de,2.8
Meterhohe Eisberge,Meterhohe Eisberge,PER,0.35714285714285715,0.0,de,2.8
Timo Werner,Timo Werner,PER,-0.25,0.0,de,2.8
Friedemann Berg,Friedemann Berg,PER,0.6071428571428572,0.0,de,2.8
Christoph Gröner,Christoph Gröner,PER,-0.25,0.0,de,2.8
Selina Grotian,Selina Grotian,PER,-0.25,0.11904761904761905,de,2.8
Geert Wilders,Geert Wilders,PER,0.25,0.0,de,2.8
Donald Trump,Donald Trump,PER,-0.11904761904761905,0.2380952380952381,de,2.8
Fleißige Bienen,Fleißige Bienen,PER,0.5,0.35714285714285715,de,2.8
Alexandra Grant,Alexandra Grant,PER,0.0,0.0,de,2.8
Mikaela Shiffrin,Mikaela Shiffrin,PER,0.5,0.0,de,2.8
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,-0.3181818181818181,0.0,de,2.2
Kiews Bewohner,Kiews Bewohner,PER,0.0,0.0,de,1.9
Teslas Autopilot,Teslas Autopilot,PER,0.4473684210526316,0.0,de,1.9
Corrado Garbazza,Corrado Garbazza,PER,1.0526315789473684,0.0,de,1.9
Peter Eberhardt von gestern,Peter Eberhardt von gestern,PER,0.5263157894736842,0.0,de,1.9
Peter Molyneux,Peter Molyneux,PER,0.0,0.0,de,1.9
Ben Ali,Ben Ali,PER,0.0,0.0,de,1.9
Teslas Autopilot-System,Teslas Autopilot-System,PER,0.3684210526315789,0.0,de,1.9
Leonie Volk,Leonie Volk,PER,0.0,0.0,de,1.9
Guildo Horn,Guildo Horn,PER,0.4473684210526316,0.0,de,1.9
Mann lieber,Mann lieber,PER,-0.7368421052631579,0.0,de,1.9
Schleswig-Holsteins Landtagspräsidentin Kristina Herbst,Schleswig-Holsteins Landtagspräsidentin Kristina Herbst,PER,0.5263157894736842,0.0,de,1.9
David Barkay,David Barkay,PER,0.0,0.0,de,1.9
Michael Laub,Michael Laub,PER,-0.5263157894736842,0.0,de,1.9
Katharina Lucà,Katharina Lucà,PER,-0.3684210526315789,0.5263157894736842,de,1.9
James Van Der Beek,James Van Der Beek,PER,0.0,0.0,de,1.9
Xabi Alonso,Xabi Alonso,PER,0.0,0.0,de,1.9
Grotians Olympia-Traum,Grotians Olympia-Traum,PER,0.7368421052631579,0.0,de,1.9
Alexander Hildebrand,Alexander Hildebrand,PER,-0.8157894736842105,0.0,de,1.9
Celsius geme,Celsius geme,PER,0.0,0.0,de,1.9
Anja Besand,Anja Besand,PER,0.0,0.0,de,1.9
Agnes Reisch,Agnes Reisch,PER,0.0,0.0,de,1.9
Gesundheitsminister Philippi,Gesundheitsminister Philippi,PER,0.0,0.0,de,1.9
Niedersachsens Landesregierung,Niedersachsens Landesregierung,PER,-0.8947368421052632,0.0,de,1.9
Georg Hackl,Georg Hackl,PER,0.0,0.0,de,1.9
Marcus Beyer,Marcus Beyer,PER,0.0,1.0526315789473684,de,1.9
"Zwischenfazit zu Sturmtief ""Elli","Zwischenfazit zu Sturmtief ""Elli",PER,0.0,0.0,de,1.9
Basileios II,Basileios II,PER,0.0,0.0,de,1.9
Tierarzt Mark,Tierarzt Mark,PER,-0.3684210526315789,0.0,de,1.9
Ole Werner,Ole Werner,PER,0.15789473684210528,0.0,de,1.9
Angela Kijewski,Angela Kijewski,PER,-0.5263157894736842,0.0,de,1.9
Heike Schimitzek,Heike Schimitzek,PER,-0.7368421052631579,0.0,de,1.9
Julian Nagelsmann,Julian Nagelsmann,PER,-0.3684210526315789,0.0,de,1.9
Kevin Müller,Kevin Müller,PER,0.0,0.0,de,1.9
Glatteis Warnstufe,Glatteis Warnstufe,PER,0.0,0.0,de,1.9
Carl Fabergé,Carl Fabergé,PER,0.5263157894736842,0.0,de,1.9
Anna Haifisch,Anna Haifisch,PER,0.3684210526315789,0.0,de,1.9
Josef Grüner,Josef Grüner,PER,0.0,0.0,de,1.9
Heike Schimetzek,Heike Schimetzek,PER,0.0,0.0,de,1.9
Alarmstufe Rot,Alarmstufe Rot,PER,0.3684210526315789,0.0,de,1.9
Mette Frederiksen,Mette Frederiksen,PER,0.3684210526315789,0.0,de,1.9
Rob Reiner,Rob Reiner,PER,-1.0526315789473684,0.0,de,1.9
Ter Stegen,Ter Stegen,PER,0.0,0.0,de,1.9
Pro Bienenvolk,Pro Bienenvolk,PER,0.0,0.0,de,1.9
Hamed Abdel-Samad,Hamed Abdel-Samad,PER,0.0,0.0,de,1.9
Goldgelbes Laub,Goldgelbes Laub,PER,0.0,1.0526315789473684,de,1.9
Leonard Darsow,Leonard Darsow,PER,0.0,0.0,de,1.9
Montagfrüh Schneeglätte,Montagfrüh Schneeglätte,PER,0.0,0.0,de,1.9
Skiarena Silbersattel,Skiarena Silbersattel,PER,0.0,0.0,de,1.9
Katja Baumann,Katja Baumann,PER,0.0,0.0,de,1.9
Sanae Takaichi,Sanae Takaichi,PER,0.7105263157894738,0.2631578947368421,de,1.9
Teile Deutschlands,Teile Deutschlands,PER,-1.0526315789473684,0.0,de,1.9
Christine Hohwieler,Christine Hohwieler,PER,0.0,0.0,de,1.9
Grünen-Politikerin Kapek,Grünen-Politikerin Kapek,PER,0.0,0.0,de,1.9
Sebastian Hoeneß,Sebastian Hoeneß,PER,0.0,0.0,de,1.9
Javier Milei,Javier Milei,PER,0.0,0.0,de,1.9
Michael Wiesinger,Michael Wiesinger,PER,0.0,0.0,de,1.9
Hennis Herbst,Hennis Herbst,PER,0.0,0.0,de,1.9
Liebe Leserin,Liebe Leserin,PER,2.0526315789473686,0.0,de,1.9
Jan Hofer,Jan Hofer,PER,-0.7368421052631579,0.0,de,1.9
Christian Wehrschütz,Christian Wehrschütz,PER,0.0,0.0,de,1.9
Julia Simon,Julia Simon,PER,-0.5263157894736842,0.0,de,1.9
Alabali Radovan,Alabali Radovan,PER,0.0,0.0,de,1.9
Vera Rubin,Vera Rubin,PER,0.3684210526315789,0.0,de,1.9
Jonas Piontek,Jonas Piontek,PER,0.0,0.0,de,1.9
Linken-Landeschef Herbst,Linken-Landeschef Herbst,PER,1.0526315789473684,0.0,de,1.9
Philipp Peyman Engel,Philipp Peyman Engel,PER,0.0,0.0,de,1.9
Schnee zugeschaufelt,Schnee zugeschaufelt,PER,0.0,0.0,de,1.9
Herbststurm Joshua,Herbststurm Joshua,PER,-0.3684210526315789,0.0,de,1.9
Abo-Meister Bayern,Abo-Meister Bayern,PER,0.7368421052631579,0.0,de,1.9
Eis umschlossener Leuchtturm,Eis umschlossener Leuchtturm,PER,-0.18421052631578946,0.7894736842105263,de,1.9
Sturmtief „Joshua“,Sturmtief „Joshua“,PER,0.3684210526315789,0.0,de,1.9
Johannes Plenio,Johannes Plenio,PER,0.0,0.0,de,1.9
Sturmtief Joshua,Sturmtief Joshua,PER,0.3684210526315789,0.0,de,1.9
Warnstufe Rot,Warnstufe Rot,PER,0.0,0.0,de,1.9
Katharina Schmid,Katharina Schmid,PER,0.5263157894736842,0.0,de,1.9
Keir Starmer,Keir Starmer,PER,0.18421052631578946,0.2631578947368421,de,1.9
Aaron Burden,Aaron Burden,PER,0.0,0.0,de,1.9
Carl Zeiss Jena,Carl Zeiss Jena,PER,0.0,0.0,de,1.9
Reiner Haseloff,Reiner Haseloff,PER,0.0,0.0,de,1.9
Olli Pocher,Olli Pocher,PER,-0.5263157894736842,0.0,de,1.9
Österreichs Skispringer,Österreichs Skispringer,PER,0.0,0.0,de,1.9
Maria Muhar,Maria Muhar,PER,0.0,0.0,de,1.2000000000000002
"Taifun ""Fung-Wong","Taifun ""Fung-Wong",PER,0.0,0.0,de,1.1
Bundespräsident Steinmeier,Bundespräsident Steinmeier,PER,0.0,0.0,de,1.1
Maria Furtwängler,Maria Furtwängler,PER,-0.6363636363636362,0.0,de,1.1
Hans Konrad Escher,Hans Konrad Escher,PER,0.0,0.0,de,1.1
Charlotte Lindholm,Charlotte Lindholm,PER,-0.6363636363636362,0.0,de,1.1
Jörg Piringer,Jörg Piringer,PER,0.0,0.0,de,1.1
Armin Willingmann,Armin Willingmann,PER,1.5454545454545452,0.0,de,1.1
Harzer Luchstrail,Harzer Luchstrail,PER,0.0,0.9090909090909091,de,1.1
Ken Saro-Wiwa,Ken Saro-Wiwa,PER,0.9090909090909091,0.0,de,1.1
Johann Gottfried Tulla,Johann Gottfried Tulla,PER,0.0,0.0,de,1.1
Boris Rhein,Boris Rhein,PER,0.0,0.0,de,1.1
Ex-Leihstürmer Janis Antiste,Ex-Leihstürmer Janis Antiste,PER,0.7,0.0,de,1.0
Patrick Fischer,Patrick Fischer,PER,0.0,0.0,de,1.0
Helene Fischer,Helene Fischer,PER,-0.5,0.5,de,1.0
Malorie Blanc,Malorie Blanc,PER,0.0,0.0,de,1.0
Österreichs Fußball,Österreichs Fußball,PER,0.0,0.0,de,1.0
Jeanne Richard,Jeanne Richard,PER,-1.0,0.0,de,1.0
Michael Strasser,Michael Strasser,PER,-0.7,0.0,de,1.0
Max Osswald,Max Osswald,PER,-0.7,0.0,de,1.0
Wintersturm Byron,Wintersturm Byron,PER,0.0,0.0,de,1.0
Kino-Comeback des Jahres,Kino-Comeback des Jahres,PER,0.0,0.0,de,1.0
Baschar Eid,Baschar Eid,PER,0.7,0.0,de,1.0
Schlagersänger Guildo Horn,Schlagersänger Guildo Horn,PER,0.7,0.0,de,1.0
Schlagersänger Guildo Hor,Schlagersänger Guildo Hor,PER,0.0,0.0,de,1.0
Frank Thelen,Frank Thelen,PER,1.0,0.0,de,1.0
Tobias Költzsch,Tobias Költzsch,PER,0.7,0.0,de,1.0
Leonardo DiCaprio,Leonardo DiCaprio,PER,-1.0,0.0,de,1.0
Equi Fernández,Equi Fernández,PER,0.0,0.0,de,1.0
Exequiel Palacios,Exequiel Palacios,PER,0.0,0.0,de,1.0
Alejo Sarco,Alejo Sarco,PER,0.0,0.0,de,1.0
Ski Alpin,Ski Alpin,PER,0.0,0.0,de,1.0
Martin Fourcade Gegenwind,Martin Fourcade Gegenwind,PER,0.0,0.0,de,1.0
Stefanie Markert,Stefanie Markert,PER,0.0,0.0,de,1.0
Gereon Haumann,Gereon Haumann,PER,0.0,0.0,de,1.0
Otto Schenks La Bohème,Otto Schenks La Bohème,PER,0.0,0.0,de,1.0
André Karwath,André Karwath,PER,0.0,0.0,de,1.0
wärmender Glühwein,wärmender Glühwein,PER,0.0,0.0,de,1.0
Nasse Haare,Nasse Haare,PER,0.0,0.0,de,1.0
Maria Happe,Maria Happe,PER,0.0,0.0,de,1.0
Barbara Frey,Barbara Frey,PER,0.0,0.0,de,1.0
Sachsen-Anhalts Straßenmeistereien,Sachsen-Anhalts Straßenmeistereien,PER,1.0,0.0,de,1.0
Deutschlands Gasspeicher,Deutschlands Gasspeicher,PER,-0.7,0.0,de,1.0
Marko Mele,Marko Mele,PER,0.0,0.0,de,1.0
Ex-Ministerpräsidentin Hasina,Ex-Ministerpräsidentin Hasina,PER,0.0,0.0,de,1.0
Ex-Regierungschefin von Bangladesch,Ex-Regierungschefin von Bangladesch,PER,0.0,0.0,de,1.0
Wintersportler lieben,Wintersportler lieben,PER,1.0,0.0,de,1.0
Helge Tuschy ,Helge Tuschy ,PER,-0.7,0.0,de,1.0
Murat Yakin,Murat Yakin,PER,0.0,0.0,de,1.0
Virginia W,Virginia W,PER,0.0,0.0,de,1.0
Riccardo Busso,Riccardo Busso,PER,0.0,0.0,de,1.0
Achim Gall,Achim Gall,PER,0.0,0.0,de,1.0
Was besucher,Was besucher,PER,-1.0,0.0,de,1.0
Christian Schridde,Christian Schridde,PER,0.0,0.0,de,1.0
ma wieda,ma wieda,PER,0.0,0.0,de,1.0
lauta Laub uff der Straße,lauta Laub uff der Straße,PER,0.0,0.0,de,1.0
lauta Laub,lauta Laub,PER,0.0,1.0,de,1.0
Wolfgang Blank,Wolfgang Blank,PER,-0.7,0.0,de,1.0
Emilia Ebeling,Emilia Ebeling,PER,0.0,0.0,de,1.0
Tom Blesch,Tom Blesch,PER,0.0,0.0,de,1.0
Tom Blesch Styling,Tom Blesch Styling,PER,0.0,0.0,de,1.0
Kaweh Mansoori,Kaweh Mansoori,PER,0.0,0.0,de,1.0
Ulrike Lüken,Ulrike Lüken,PER,0.0,0.0,de,1.0
Andreas Wellinger,Andreas Wellinger,PER,0.0,0.0,de,1.0
Skisprung-Olympiasieger Andreas Wellinger,Skisprung-Olympiasieger Andreas Wellinger,PER,0.0,0.0,de,1.0
Anhänger von Hygge,Anhänger von Hygge,PER,0.0,0.0,de,1.0
Schwarzbäuchige Taufliege,Schwarzbäuchige Taufliege,PER,0.0,0.0,de,1.0
Schuh Olympia-Ticket,Schuh Olympia-Ticket,PER,0.7,0.0,de,1.0
Rok Aznoh,Rok Aznoh,PER,0.0,0.0,de,1.0
Paul Heg,Paul Heg,PER,0.0,0.0,de,1.0
Laub rechen,Laub rechen,PER,0.0,1.0,de,1.0
Hokusais grosse Welle der Lust,Hokusais grosse Welle der Lust,PER,0.7,0.0,de,1.0
Erlebe Meisterwerke,Erlebe Meisterwerke,PER,0.0,0.0,de,1.0
Mona Lisa,Mona Lisa,PER,0.0,0.0,de,1.0
Heimo Strebl,Heimo Strebl,PER,0.2333333333333333,0.0,de,1.0
Tesla-Chef Elon Musk,Tesla-Chef Elon Musk,PER,0.16666666666666666,0.3333333333333333,de,1.0
Draußen Schneegestöber,Draußen Schneegestöber,PER,0.0,0.0,de,1.0
Martin Winter,Martin Winter,PER,0.7,0.0,de,1.0
Christoph Peuckmann,Christoph Peuckmann,PER,0.0,0.0,de,1.0
everybodys darling,everybodys darling,PER,0.0,0.0,de,1.0
dm-Chef Christoph Werner,dm-Chef Christoph Werner,PER,0.0,0.0,de,1.0
Milder Herbst,Milder Herbst,PER,1.0,0.0,de,1.0
Zusammenstöße von Wassertröpfchen,Zusammenstöße von Wassertröpfchen,PER,1.0,0.0,de,1.0
Josephine Johnson,Josephine Johnson,PER,0.0,0.0,de,1.0
Josephine Johnsons,Josephine Johnsons,PER,0.0,0.0,de,1.0
YouTuber Zimmermann,YouTuber Zimmermann,PER,-1.0,0.0,de,1.0
